emp_no,dept_no,from_date,to_date
10042,d002,21-03-1993,10-08-2000
10059,d002,26-06-1991,01-01-9999
10132,d002,18-06-1997,01-01-9999
10146,d002,28-06-1988,07-09-1990
10147,d002,18-12-1987,01-01-9999
10165,d002,17-05-1988,01-01-9999
10173,d002,21-03-1992,01-01-9999
10177,d002,06-02-1993,17-03-1994
10180,d002,01-07-1994,01-01-9999
10186,d002,25-12-1996,16-08-1997
10187,d002,01-06-1991,01-01-9999
10194,d002,14-02-1997,01-01-9999
10196,d002,31-01-1999,01-01-9999
10220,d002,16-09-1997,01-01-9999
10241,d002,12-06-1988,01-01-9999
10263,d002,21-12-1996,01-01-9999
10272,d002,23-10-1997,01-01-9999
10295,d002,19-06-1995,01-01-9999
10301,d002,23-05-1988,01-01-9999
10351,d002,01-05-1995,01-01-9999
10416,d002,24-03-1989,01-01-9999
10456,d002,06-01-2000,01-01-9999
10459,d002,14-06-1998,01-01-9999
10480,d002,18-05-1988,03-06-1989
10496,d002,29-08-1995,26-01-1999
10513,d002,02-04-1991,01-01-9999
10543,d002,24-11-1998,01-01-9999
10556,d002,15-04-1992,01-01-9999
10576,d002,03-01-1991,01-01-9999
10589,d002,26-01-1994,01-01-9999
10615,d002,10-03-1996,01-01-9999
10657,d002,26-03-1992,01-01-9999
10666,d002,20-05-1989,01-01-9999
10668,d002,28-11-1997,03-09-1999
10675,d002,02-02-1993,01-01-9999
10685,d002,27-12-1995,20-10-1996
10688,d002,13-04-1986,01-01-9999
10727,d002,08-01-1991,06-06-2000
10731,d002,20-02-1987,09-10-2000
10743,d002,05-11-1999,01-01-9999
10760,d002,22-08-1997,01-01-9999
10761,d002,30-05-1992,04-01-1999
10827,d002,07-11-1996,01-01-9999
10850,d002,22-04-1990,11-05-1995
10866,d002,27-12-1990,01-01-9999
10872,d002,06-09-1990,01-01-9999
10873,d002,23-03-1994,01-01-9999
10901,d002,05-08-1998,01-01-9999
10912,d002,23-04-1986,26-09-1999
10913,d002,25-10-1998,01-01-9999
10918,d002,29-01-1990,10-10-1990
10934,d002,17-09-1995,01-01-9999
10935,d002,17-10-1994,01-01-9999
10949,d002,29-06-1990,01-01-9999
10951,d002,06-07-1989,01-01-9999
10964,d002,05-05-1991,01-01-9999
10989,d002,20-07-1985,01-01-9999
11006,d002,02-08-1989,22-09-1990
11010,d002,18-12-1986,01-01-9999
11036,d002,24-10-1988,01-01-9999
11046,d002,21-01-1994,01-01-9999
11066,d002,30-04-1996,01-01-9999
11081,d002,17-06-1985,01-01-9999
11122,d002,15-10-1995,01-01-9999
11153,d002,17-06-1997,01-01-9999
11203,d002,06-01-1988,15-06-1996
11273,d002,07-10-1987,01-01-9999
11283,d002,30-06-1987,01-01-9999
11285,d002,23-11-1999,01-01-9999
11295,d002,15-05-1985,01-01-9999
11309,d002,26-01-1999,01-01-9999
11346,d002,11-06-1992,01-01-9999
11354,d002,23-06-1987,01-01-9999
11363,d002,16-03-1986,01-01-9999
11367,d002,04-11-1999,01-01-9999
11381,d002,12-08-1991,26-12-1998
11392,d002,21-04-1999,01-01-9999
11398,d002,07-09-1994,01-01-9999
11403,d002,03-08-1989,01-12-1993
11422,d002,04-12-1990,01-01-9999
11426,d002,13-10-1996,01-01-9999
11475,d002,14-09-1998,01-01-9999
11479,d002,10-02-1999,01-01-9999
11513,d002,25-08-1992,01-01-9999
