emp_no,dept_no,from_date,to_date
10005,d003,1989-09-12,9999-01-01
10013,d003,1985-10-20,9999-01-01
10036,d003,1992-04-28,9999-01-01
10039,d003,1988-01-19,9999-01-01
10054,d003,1995-07-29,9999-01-01
10071,d003,1995-08-05,9999-01-01
10077,d003,1994-12-23,9999-01-01
10080,d003,1997-07-09,9999-01-01
10086,d003,1992-02-19,9999-01-01
10100,d003,1987-09-21,9999-01-01
10105,d003,1999-05-17,2001-06-11
10110,d003,1986-08-22,9999-01-01
10144,d003,1988-09-02,1993-08-10
10163,d003,1992-02-02,9999-01-01
10233,d003,1994-04-29,9999-01-01
10280,d003,1995-01-27,9999-01-01
10325,d003,1990-09-20,9999-01-01
10354,d003,2000-03-03,2002-01-01
10360,d003,1996-09-04,9999-01-01
10362,d003,1990-11-02,1997-07-16
10413,d003,1991-12-27,9999-01-01
10428,d003,1992-06-04,9999-01-01
10436,d003,1988-01-30,9999-01-01
10464,d003,1991-05-21,9999-01-01
10467,d003,1992-05-22,1999-11-01
10484,d003,1996-12-20,9999-01-01
10507,d003,1990-09-30,9999-01-01
10512,d003,1989-11-28,9999-01-01
10522,d003,1986-12-12,9999-01-01
10531,d003,1995-03-16,9999-01-01
10574,d003,1999-11-15,9999-01-01
10613,d003,1997-10-13,9999-01-01
10626,d003,1996-12-03,9999-01-01
10627,d003,1995-03-13,9999-01-01
10636,d003,1996-09-25,9999-01-01
10671,d003,1995-09-14,9999-01-01
10679,d003,1990-05-13,9999-01-01
10689,d003,1988-08-05,9999-01-01
10717,d003,1991-09-13,9999-01-01
10748,d003,1992-04-04,9999-01-01
10766,d003,1999-09-18,9999-01-01
10783,d003,1994-05-15,9999-01-01
10806,d003,1994-04-08,9999-01-01
10815,d003,1994-04-19,9999-01-01
10818,d003,1998-04-09,9999-01-01
10823,d003,1999-08-19,9999-01-01
10829,d003,1993-07-21,1993-11-29
10892,d003,1990-04-11,9999-01-01
10907,d003,1988-12-25,9999-01-01
10908,d003,1986-04-05,9999-01-01
10920,d003,1992-02-24,9999-01-01
10936,d003,1990-05-09,9999-01-01
11014,d003,1994-08-23,9999-01-01
11025,d003,1998-09-07,2000-05-26
11040,d003,1988-01-22,9999-01-01
11063,d003,1996-01-09,9999-01-01
11083,d003,1998-05-14,9999-01-01
11108,d003,1992-06-12,9999-01-01
11118,d003,1992-11-10,9999-01-01
11130,d003,1997-02-17,9999-01-01
11148,d003,1991-12-12,9999-01-01
11166,d003,1998-01-30,9999-01-01
11171,d003,1992-10-04,9999-01-01
11193,d003,1998-01-28,9999-01-01
11202,d003,1996-02-26,9999-01-01
11210,d003,1989-08-25,9999-01-01
11227,d003,1985-03-08,9999-01-01
11231,d003,1988-04-07,9999-01-01
11247,d003,1993-10-11,9999-01-01
11279,d003,1991-02-05,9999-01-01
11301,d003,1989-05-23,9999-01-01
11331,d003,1987-03-03,9999-01-01
11337,d003,1998-02-21,2002-05-11
11348,d003,1991-10-02,9999-01-01
11383,d003,1999-11-26,9999-01-01
11416,d003,1987-09-21,9999-01-01
11420,d003,1992-01-31,9999-01-01
11431,d003,1985-09-16,2001-03-03
11436,d003,1999-06-09,1999-11-22
11457,d003,1991-02-10,9999-01-01
11459,d003,1986-05-03,9999-01-01
11467,d003,1993-06-16,9999-01-01
11481,d003,1987-05-01,2000-01-10
11510,d003,1998-12-29,2001-04-01
11518,d003,1994-09-22,9999-01-01
11542,d003,1985-06-20,9999-01-01
11555,d003,1986-10-14,9999-01-01
11588,d003,1994-12-24,1995-06-12
11670,d003,1985-05-17,9999-01-01
11682,d003,1986-11-27,9999-01-01
11690,d003,1997-09-23,9999-01-01
11694,d003,1989-03-31,9999-01-01
11705,d003,1990-04-06,1994-06-30
11734,d003,1998-08-09,9999-01-01
11765,d003,1991-07-04,9999-01-01
11777,d003,1994-06-21,9999-01-01
11814,d003,1996-06-09,1998-10-24
11905,d003,1989-05-12,9999-01-01
11907,d003,1992-02-27,9999-01-01
11918,d003,1987-03-19,9999-01-01
11945,d003,1994-01-21,9999-01-01
11979,d003,1998-06-07,9999-01-01
11993,d003,1996-10-22,9999-01-01
11997,d003,1999-02-21,1999-08-06
12024,d003,1997-11-03,9999-01-01
12030,d003,1996-06-24,9999-01-01
12062,d003,1996-01-04,9999-01-01
12088,d003,1995-05-08,1996-06-14
12089,d003,1986-10-22,9999-01-01
12140,d003,1996-11-15,9999-01-01
12157,d003,1985-06-04,9999-01-01
12161,d003,1996-09-25,9999-01-01
12169,d003,1994-11-29,9999-01-01
12172,d003,1990-12-08,9999-01-01
12193,d003,1989-08-10,9999-01-01
12204,d003,1995-07-25,9999-01-01
12211,d003,1986-12-26,9999-01-01
12246,d003,1990-01-26,9999-01-01
12256,d003,1985-08-26,9999-01-01
12271,d003,1999-06-13,9999-01-01
12272,d003,1987-12-08,9999-01-01
12278,d003,1998-10-15,9999-01-01
12308,d003,1996-09-20,9999-01-01
