emp_no,dept_no,from_date,to_date
10017,d001,1993-08-03,9999-01-01
10055,d001,1992-04-27,1995-07-22
10058,d001,1988-04-25,9999-01-01
10108,d001,1999-12-06,2001-10-20
10140,d001,1991-03-14,9999-01-01
10175,d001,1988-09-24,1995-05-24
10208,d001,1995-02-05,1999-05-15
10228,d001,1993-01-28,9999-01-01
10239,d001,1996-05-04,9999-01-01
10340,d001,1988-03-30,9999-01-01
10353,d001,1989-08-24,9999-01-01
10367,d001,1991-06-24,9999-01-01
10384,d001,1986-01-16,9999-01-01
10418,d001,1996-10-04,9999-01-01
10449,d001,1996-03-12,9999-01-01
10491,d001,1990-01-17,9999-01-01
10548,d001,1991-10-04,9999-01-01
10567,d001,1997-02-17,9999-01-01
10591,d001,1987-06-18,1988-09-20
10602,d001,1989-04-23,1993-11-06
10658,d001,1994-04-29,9999-01-01
10661,d001,1988-01-12,9999-01-01
10681,d001,2002-01-08,9999-01-01
10694,d001,1988-01-26,2001-07-11
10722,d001,1989-01-17,2000-04-14
10741,d001,1989-01-06,9999-01-01
10765,d001,1994-05-08,1994-05-11
10778,d001,1986-07-04,9999-01-01
10787,d001,1991-07-19,2002-07-27
10820,d001,1992-06-26,9999-01-01
10824,d001,1995-08-01,9999-01-01
10830,d001,1991-08-24,9999-01-01
10859,d001,1996-05-21,9999-01-01
10877,d001,1986-06-06,9999-01-01
10885,d001,1997-09-29,9999-01-01
10893,d001,1989-08-23,9999-01-01
10899,d001,1990-04-05,9999-01-01
10919,d001,1999-10-30,9999-01-01
10927,d001,1986-09-12,9999-01-01
10928,d001,1991-04-07,9999-01-01
10929,d001,1991-04-15,9999-01-01
10938,d001,1985-09-24,9999-01-01
10941,d001,1993-08-22,9999-01-01
10995,d001,1997-07-19,9999-01-01
11031,d001,1985-10-24,9999-01-01
11035,d001,1998-07-26,9999-01-01
11050,d001,1986-05-06,9999-01-01
11092,d001,2002-04-25,9999-01-01
11113,d001,1985-11-30,9999-01-01
11123,d001,1988-03-28,9999-01-01
11172,d001,2000-06-20,9999-01-01
11178,d001,1985-05-27,1987-01-24
11191,d001,1991-12-14,9999-01-01
11251,d001,1986-06-15,9999-01-01
11262,d001,1994-04-30,9999-01-01
11287,d001,1987-08-12,9999-01-01
11311,d001,1994-12-15,9999-01-01
11313,d001,1986-02-28,9999-01-01
11320,d001,1990-04-06,9999-01-01
11357,d001,1996-10-28,9999-01-01
11375,d001,1985-05-27,9999-01-01
11389,d001,1998-04-28,9999-01-01
11414,d001,1989-01-02,1997-10-06
11418,d001,1999-11-23,9999-01-01
11435,d001,1986-10-15,9999-01-01
11476,d001,1994-01-15,9999-01-01
11489,d001,1991-03-24,9999-01-01
11501,d001,1991-10-24,2002-03-20
11517,d001,1986-10-09,1991-05-19
11520,d001,1991-11-20,9999-01-01
11522,d001,1999-08-04,9999-01-01
11527,d001,1999-01-28,9999-01-01
11539,d001,1998-12-25,2002-01-19
11554,d001,1999-02-21,9999-01-01
11570,d001,1988-10-07,9999-01-01
11576,d001,1992-11-12,9999-01-01
11595,d001,1992-09-08,9999-01-01
11602,d001,1993-06-21,9999-01-01
11609,d001,2000-02-14,2001-06-05
11618,d001,2001-08-13,9999-01-01
11643,d001,1999-08-01,2001-01-03
11656,d001,1999-01-25,9999-01-01
11667,d001,1990-09-08,9999-01-01
11684,d001,1986-02-21,9999-01-01
11726,d001,1990-05-29,9999-01-01
11727,d001,1992-03-07,9999-01-01
11740,d001,1990-01-19,9999-01-01
11744,d001,1989-08-23,2000-01-18
11752,d001,1992-11-10,9999-01-01
11776,d001,1986-11-05,1999-11-01
11786,d001,1996-02-28,9999-01-01
11797,d001,1996-09-28,9999-01-01
11833,d001,1999-07-15,9999-01-01
11853,d001,1988-11-17,9999-01-01
11872,d001,1994-02-12,9999-01-01
11882,d001,2001-01-05,9999-01-01
